German,English
Ich,I
ist,is
ich,I
Sie,she
du,you
das,that
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,one
in,in
wir,weather
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,we
Und,and
so,so
sind,are
von,from
dich,you
war,was
haben,to have
für,for
Ja,Yes
hier,here
an,on
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,US
sich,himself
Die,the
nur,only
einen,a
Nein,no
dem,to the
ihn,him
auch,also
hast,have
sein,being
ihr,her
da,there
aus,out
kann,can
aber,but
Aber,but
wenn,if
wird,will
um,around
Wie,As
als,as
bist,are you
im,in the
mal,just
doch,indeed
gut,Well
meine,my
jetzt,now
weiß,White
Wenn,When
werden,will
Der,the
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,none
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,one
wieder,again
bei,at
hab,have
machen,do
vor,before
Mann,husband
ihm,him
einem,a
tun,to do
zum,to the
können,be able
sagen,to say
werde,become
denn,then
Ist,is
Ein,A
Warum,why
einer,a
gehen,walk
sehen,see
sehr,very
geht,goes
alle,Everyone
über,over
müssen,have to
diese,this
einfach,simple
euch,you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,you
gibt,are
wirklich,really
Hey,Hey
Danke,thank you
deine,your
würde,would
soll,target
Da,There
hatte,had
Hier,here
wissen,to know
bitte,You're welcome
viel,a lot
Dann,then
So,So
gesagt,said
Ihr,Her
am,at the
kein,no
Komm,come
Wer,who
zurück,back
wurde,would
In,In
wollte,wanted
Frau,Mrs
Leben,Life
wäre,would
wo,Where
damit,in order to
Nicht,not
Gott,God
Leute,People
kannst,can
heute,today
meinen,think
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N / A
wollen,want
sicher,secure
ganz,all
Jetzt,now
Mein,my
Mr,Mr
also,so
zur,to the
Hast,Have
Gut,Good
hätte,had
weil,because
tut,does
Hallo,Hi
Okay,OK
macht,power
waren,was
bis,until
Vielleicht,perhaps
könnte,could
Eine,One
Bitte,You're welcome
weg,path
seine,his
lassen,leave
Vater,father
gesehen,seen
Nun,so
gerade,just
Alles,everything
glaube,faith
Tag,Day
ab,away
Geld,money
gemacht,did
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,through
zwei,two
diesen,this
passiert,happens
wohl,well
vielleicht,perhaps
ihre,their
Mutter,mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,would like
wirst,become
gehört,heard
weißt,whisper
Keine,None
raus,Out
Meine,My
paar,pair
besser,better
ob,if
her,on
musst,must
Ordnung,order
meiner,mine
klar,clear
ihnen,you
Los,Come on
diesem,This
meinem,my
lange,Long
Lass,let
dieses,this
helfen,help
unsere,our
Weg,path
selbst,self
Nur,Just
finden,Find
Mal,Just
jemand,someone
denke,think
Ach,Oh
Nacht,night
genau,I agree
gar,at all
sagt,says
Welt,world
Auf,on
Mädchen,girl
ins,into the
hin,there
vom,from the
schön,Nice
warum,why
weiter,further
Leid,Sorrow
gleich,same
wer,who
ohne,without
Menschen,People
deinen,yours
leid,suffering
Wieso,how so
dort,there
Als,When
Hause,Home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,OK
Hör,Hear
machst,make
Freund,friend
richtig,correct
Angst,fear
Bist,Are you
Tut,Does
Mit,With
viele,lots
sieht,sees
Haus,House
tot,dead
sollen,should
ganze,whole
andere,other
getan,did
okay,OK
rein,pure
